t_klinik;klinik_name;Straße;Nr;PLZ;Ort;Bundesland;Latitude;Longitude
63;Notfallambulanz des Zentrums für Kinder-und Jugendmedizin am Universitätsklinikum Freiburg;Heiliggeiststraße;1;79106;Freiburg im Breisgau;Baden-Wuerttemberg;48.00417071953537;7.843105222140494
64;Kreiskrankenhaus Demmin GmbH;Wollweberstraße;21;17109;Demmin;Mecklenburg-Vorpommern;53.90250192589069;13.041681991177315
65;Universitätsklinikum Würzburg;Josef-Schneider-Straße;2;97080;Würzburg;Bayern;49.802157795474955;9.956881064430055
66;Universitätsklinikum Gießen;Rudolf-Buchheim-Straße;8;35392;Gießen;Hessen;50.575272548563724;8.666418137543006
67;Kindernotaufnahme Memmingen;Bismarckstraße;23;87700;Memmingen;Bayern;47.982839753692915;10.16894642677389
68;Vivantes Klinikum im Friedrichshain;Landsberger Allee;49;10249;Berlin;Berlin;52.52466807009941;13.4389755999954
69;BG Klinikum Bergmannstrost Halle;Merseburger Str.;165;6112;Halle;Sachsen-Anhalt;51.46054854821371;11.985005942215563
70;Elblandklinikum Radebeul;Heinrich-Zille-Straße;13;1445;Radebeul;Sachsen;51.10838650545163;13.651429171141977
71;Klinik Preetz;Am Krankenhaus;5;24211;Preetz;Schleswig-Holstein;54.239012982608806;10.27837565725772
72;Katholisches Klinikum Bochum gGmbH;Gudrunstraße;56;44791;Bochum;Nordrhein-Westfalen;51.49463055527534;7.228757141215735
73;Universitätsklinikum des Saarlandes;Kirrberger Straße;100;66421;Homburg;Saarland;49.306547215394694;7.345077798414643
74;Medizinische Fakultät Mannheim der Universität Heidelberg;Ludolf-Krehl-Straße;13;68167;Mannheim;Baden-Württemberg;49.4958806262322;8.49409191534214
75;Bielefeld Mitte Universitätsklinikum OWL der Universität Bielefeld;Teutoburger Straße;50;33604;Bielefeld;Nordrhein-Westfalen;52.01418724994535;8.544698288355349
76;Schildesche Evangelisches Klinikum Bethel gGmbH;Schildescher Straß0e;99;33611;Bielefeld;Nordrhein-Westfalen;52.04179128672507;8.5407855
77;Universitätsklinikum Bonn;Venusberg Campus;1;52127;Bonn;Nordrhein-Westfalen;50.70129185618288;7.105544506916912
78;Universitätsklinikum Frankfurt am Main;Theodor-Stern-Kai;7;60596;Frankfurt am Main;Hessen;50.09519801441329;8.661777275148868
79;Vivantes Humboldt-Klinikum;Am Nordgraben;2;13509;Berlin;Berlin;52.589989766657155;13.307503654336761
80;Köln-Merheim Kliniken der Stadt Köln GmbH;Ostmerheimer Straße;200;51109;Köln;Nordrhein-Westfalen;50.9387665158409;7.051943598151257
81;Sana Klinikum Offenbach;Starkenburgring;66;63069;Offenbach am Main;Hessen;50.09411280892718;8.75731335343215
82;Klinikum Peine;Virchowstraße;8;31226;Peine;Niedersachsen;52.3016139944653;10.23749294083439
83;Bielefeld Rosenhöhe Universitätsklinikum OWL der Universität Bielefeld;An der Rosenhöhe;27;33647;Bielefeld;Nordrhein-Westfalen;51.98276990502864;8.532108959519814
84;Bielefeld Halle (Westf.) Universitätsklinikum OWL der Universität Bielefeld;Winnebrockstraße;1;33790;Halle (Westfalen);Sachsen-Anhalt;52.05609220766156;8.354776675399233
85;Pädiatrie Köln-Riehl Kliniken der Stadt Köln GmbH;Amsterdamer Straße;59;50735;Köln;Nordrhein-Westfalen;50.96314825026524;6.966751873602463
86;Köln-Holweide Kliniken der Stadt Köln GmbH;Neufelder Straße;32;51067;Köln;Nordrhein-Westfalen;50.966875162662745;7.0561915497399115
87;Klinikum Magdeburg gemeinnützige GmbH;Birkenallee;34;39130;Magdeburg;Sachsen-Anhalt;52.158756465096765;11.583344932567982
88;Pädiatrie LMU Innenstadt Ludwig-Maximilians-Universität Klinikum Innenstadt;Lindwurmstraße;4;80337;München;Bayern;48.13024634495929;11.559151942557774
89;Kreiskliniken Herford-Bünde;Schwarzenmoorstraße;70;32049;Herford;Nordrhein-Westfalen;52.16720410721161;8.721352225230023
90;Offenburg-Kehl Ortenau Klinikum gKAöR;Kanzmattstraße;2;77694;Kehl;Baden-Württemberg;48.57352633587912;7.810764305339913
91;Lahr Ortenau Klinikum gKAöR;Klostenstraße;19;77933;Lahr (Schwarzwald);Baden-Württemberg;48.34468683266155;7.886236715342139
92;Krankenhaus Barmherzige Brüder Regensburg;Prüfeninger Straße;86;93049;Regensburg;Bayern;49.016523810664815;12.064578186506603
